Date,Text,SA
27-06-2011,Netural,0
28-06-2011,Netural,0
29-06-2011,Netural,0
30-06-2011,Netural,0
01-07-2011,Netural,0
02-07-2011,Netural,0
03-07-2011,Clarity on upstream subsidy shares will help  overhang of the FPO may constrain ONGC stock price     stocks bse nse Clarity on upstream subsidy shares will help  overhang of the FPO may constrain ONGC stock price   ,0.9217
04-07-2011,Netural,0
05-07-2011,suhelseth He must be relishing     rise in stock price of Pritish Nandy Communication on BSE in last   days  ,0.3818
06-07-2011,Netural,0
07-07-2011,Netural,0
08-07-2011,Coal India shares dip on draft mining bill approval  The companys stock price on the BSE ended at Rs   ,0.6486
09-07-2011,Netural,0
10-07-2011,Netural,0
11-07-2011,Netural,0
12-07-2011,Netural,0
13-07-2011,Netural,0
14-07-2011,Netural,0
15-07-2011,Netural,0
16-07-2011,Netural,0
17-07-2011,Netural,0
18-07-2011,Netural,0
19-07-2011,Netural,0
20-07-2011,Netural,0
21-07-2011,Netural,0
22-07-2011,Netural,0
23-07-2011,Netural,0
24-07-2011,Netural,0
25-07-2011,Netural,0
26-07-2011,Netural,0
27-07-2011,Netural,0
28-07-2011,Netural,0
29-07-2011,Netural,0
30-07-2011,Netural,0
31-07-2011,Netural,0
01-08-2011,Netural,0
02-08-2011,Netural,0
03-08-2011,Netural,0
04-08-2011,Netural,0
05-08-2011,Suggest a website which gives stock price BSE Sensex  of a particular company for a period of more tha  bse sensex Suggest a website which gives stock price BSE Sensex  of a particular company for a period of more tha    bse sensex Suggest a website which gives stock price BSE Sensex  of a particular company for a period of more tha    ,0
06-08-2011,Netural,0
07-08-2011,Netural,0
08-08-2011,Netural,0
09-08-2011,Netural,0
10-08-2011,Netural,0
11-08-2011,Netural,0
12-08-2011,Netural,0
13-08-2011,Netural,0
14-08-2011,Netural,0
15-08-2011,Netural,0
16-08-2011,Netural,0
17-08-2011,Netural,0
18-08-2011,Netural,0
19-08-2011,dlf remains defiant  Stock price holds      ,-0.2263
20-08-2011,Netural,0
21-08-2011,Netural,0
22-08-2011,Netural,0
23-08-2011,Netural,0
24-08-2011,Netural,0
25-08-2011,Netural,0
26-08-2011,Netural,0
27-08-2011,Netural,0
28-08-2011,Netural,0
29-08-2011,Netural,0
30-08-2011,Netural,0
31-08-2011,Netural,0
01-09-2011,Ahmedabad Gases Stock Price  Share Price  Live BSE NSE  ,0.296
02-09-2011,Titan  Will the stock price double in   years  ,0
03-09-2011,Netural,0
04-09-2011,Netural,0
05-09-2011,Netural,0
06-09-2011,Netural,0
07-09-2011,Netural,0
08-09-2011,Netural,0
09-09-2011,Netural,0
10-09-2011,Netural,0
11-09-2011,Netural,0
12-09-2011,Netural,0
13-09-2011,Netural,0
14-09-2011,Netural,0
15-09-2011,Netural,0
16-09-2011,Netural,0
17-09-2011,Netural,0
18-09-2011,India IT Services   Consensus is a perverse predictor of stock price movements   it rarely gets the     stocks bse nse India IT Services   Consensus is a perverse predictor of stock price movements   it rarely gets ,-0.6808
19-09-2011,Netural,0
20-09-2011,Netural,0
21-09-2011,Netural,0
22-09-2011,Netural,0
23-09-2011,Netural,0
24-09-2011,Netural,0
25-09-2011,Netural,0
26-09-2011,Netural,0
27-09-2011,Netural,0
